ID: 102133; DES Number: 14607357; Time: 13:40:06
ID: 102222; DES Number: 05632655; Time: 13:40:37
ID: 102195; DES Number: 11881029; Time: 13:41:12
ID: 102095; DES Number: 01961492; Time: 13:41:50
ID: 102196; DES Number: 13113693; Time: 13:42:50
ID: 102223; DES Number: 01377616; Time: 13:43:09
ID: 102134; DES Number: 05548459; Time: 13:43:29
ID: 102096; DES Number: 95908802; Time: 13:43:59
ID: 102135; DES Number: 04063297; Time: 13:45:57
ID: 102224; DES Number: 62325864; Time: 13:46:18
ID: 102197; DES Number: 25398831; Time: 13:46:39
ID: 102136; DES Number: 01962920; Time: 13:47:13
ID: 102097; DES Number: 00101547; Time: 13:47:36
ID: 102225; DES Number: 12192424; Time: 13:48:09
ID: 102198; DES Number: 00423370; Time: 13:48:40
ID: 102098; DES Number: 25483054; Time: 13:49:03
ID: 102137; DES Number: 02789495; Time: 13:49:27
ID: 102226; DES Number: 23523765; Time: 13:50:00
ID: 102199; DES Number: 12149942; Time: 13:51:31
ID: 102227; DES Number: S0405470; Time: 13:51:59
ID: 102148; DES Number: 20248107; Time: 13:52:21
ID: 102099; DES Number: 0-202599; Time: 13:52:41
ID: 102228; DES Number: 01975296; Time: 13:53:14
ID: 102200; DES Number: 01079967; Time: 13:53:31
ID: 102168; DES Number: I0460789; Time: 13:54:03
ID: 102100; DES Number: 02792679; Time: 13:54:21
ID: 102201; DES Number: 81248471; Time: 13:55:26
ID: 102256; DES Number: 0-805013; Time: 13:55:56
ID: 102101; DES Number: 12068060; Time: 13:56:31
ID: 102169; DES Number: 88691627; Time: 13:56:53
ID: 102229; DES Number: 12136614; Time: 13:57:30
ID: 102257; DES Number: 12018674; Time: 13:57:52
ID: 102102; DES Number: 11810620; Time: 13:58:25
ID: 102230; DES Number: 00975248; Time: 13:58:52
ID: 102170; DES Number: 12162411; Time: 13:59:11
ID: 102258; DES Number: 12387879; Time: 13:59:47
ID: 102171; DES Number: 09504484; Time: 14:00:32
ID: 102316; DES Number: 25374553; Time: 15:15:48
ID: 102203; DES Number: 07008777; Time: 15:17:14
ID: 102282; DES Number: 45815060; Time: 15:17:36
ID: 102341; DES Number: 0-BLU/20; Time: 15:18:01
ID: 102204; DES Number: 07012309; Time: 15:18:30
ID: 102317; DES Number: S2195953; Time: 15:18:51
ID: 102283; DES Number: 187175-1; Time: 15:19:25
ID: 102342; DES Number: 09319/1
; Time: 15:19:48
ID: 102215; DES Number: 23894076; Time: 15:20:22
ID: 102284; DES Number: 12192425; Time: 15:21:10
ID: 102318; DES Number: -202978
; Time: 15:21:29
ID: 102343; DES Number: S2197527; Time: 15:21:59
ID: 102216; DES Number: 12264934; Time: 15:22:32
ID: 102285; DES Number: 9-BLU/20; Time: 15:23:04
ID: 102319; DES Number: 89259524; Time: 15:23:45
ID: 102286; DES Number: 12375811; Time: 15:24:07
ID: 102217; DES Number: 4-BLU/20; Time: 15:24:35
ID: 102320; DES Number: 12054007; Time: 15:25:20
ID: 102378; DES Number: 07286339; Time: 15:25:39
ID: 102352; DES Number: 45814900; Time: 15:26:07
ID: 102287; DES Number: S2194310; Time: 15:26:26
ID: 102218; DES Number: 25511620; Time: 15:26:58
ID: 102379; DES Number: 82414120; Time: 15:27:30
ID: 102288; DES Number: 32010674; Time: 15:28:00
ID: 102353; DES Number: S2194158; Time: 15:28:18
ID: 102239; DES Number: 00139423; Time: 15:28:49
ID: 102289; DES Number: 78699872; Time: 15:29:19
ID: 102380; DES Number: 01251578; Time: 15:29:43
ID: 102240; DES Number: 20300981; Time: 15:30:16
ID: 102354; DES Number: 00338467; Time: 15:30:40
ID: 102290; DES Number: 21160803; Time: 15:31:26
ID: 102241; DES Number: 83358493; Time: 15:31:54
ID: 102381; DES Number: 84859047; Time: 15:32:18
ID: 102291; DES Number: 187004-1; Time: 15:32:47
ID: 102355; DES Number: 20020535; Time: 15:33:06
ID: 102242; DES Number: 15797198; Time: 15:34:25
ID: 102382; DES Number: 0330-049; Time: 15:34:55
ID: 102243; DES Number: 04067685; Time: 15:35:45
ID: 102321; DES Number: 12136613; Time: 15:36:04
ID: 102356; DES Number: 27744697; Time: 15:36:26
ID: 102383; DES Number: 82187717; Time: 15:36:55
ID: 102254; DES Number: 0-203326; Time: 15:37:24
ID: 102322; DES Number: 20001116; Time: 15:37:58
ID: 102357; DES Number: 10509498; Time: 15:38:28
ID: 102323; DES Number: 01961302; Time: 15:39:03
ID: 102384; DES Number: 20423944; Time: 15:39:23
ID: 102255; DES Number: 20244558; Time: 15:39:55
ID: 102358; DES Number: S2350504; Time: 15:40:31
ID: 102385; DES Number: 10166492; Time: 15:40:58
ID: 102324; DES Number: 88683595; Time: 15:41:27
ID: 102359; DES Number: 80375426; Time: 15:42:06
ID: 102265; DES Number: 185506-1; Time: 15:42:27
ID: 102325; DES Number: 1-BLU/20; Time: 15:42:57
ID: 102386; DES Number: 87420919; Time: 15:43:15
ID: 102326; DES Number: 20245056; Time: 15:43:50
ID: 102360; DES Number: 89159635; Time: 15:44:09
ID: 102266; DES Number: LI200860; Time: 15:44:39
ID: 102387; DES Number: 00207763; Time: 15:46:09
ID: 102690; DES Number: 81056507; Time: 11:56:05
ID: 102527; DES Number: 21236142; Time: 11:56:25
ID: 102596; DES Number: 02249534; Time: 11:56:42
ID: 102645; DES Number: 83384798; Time: 11:57:03
ID: 102597; DES Number: 20040002; Time: 11:57:56
ID: 102691; DES Number: 07293386; Time: 11:58:26
ID: 102528; DES Number: 87467030; Time: 11:58:42
ID: 102646; DES Number: 00000023; Time: 11:59:21
ID: 102692; DES Number: 83597751; Time: 11:59:47
ID: 102657; DES Number: 30910113; Time: 12:00:16
ID: 102624; DES Number: 10089956; Time: 12:00:34
ID: 102529; DES Number: 82047874; Time: 12:01:03
ID: 102693; DES Number: 81947766; Time: 12:01:40
ID: 102625; DES Number: 89255252; Time: 12:02:54
ID: 102674; DES Number: 00235231; Time: 12:03:23
ID: 102557; DES Number: 00100975; Time: 12:03:41
ID: 102694; DES Number: 82551085; Time: 12:03:57
ID: 102626; DES Number: 81432153; Time: 12:05:26
ID: 102695; DES Number: 51407627; Time: 12:06:00
ID: 102558; DES Number: 87420917; Time: 12:06:19
ID: 102675; DES Number: 00468032; Time: 12:06:56
ID: 102676; DES Number: 49123855; Time: 12:07:31
ID: 102696; DES Number: 00785797; Time: 12:08:21
ID: 102627; DES Number: 00246298; Time: 12:08:47
ID: 102628; DES Number: 00201109; Time: 12:11:19
ID: 102697; DES Number: 83868653; Time: 12:12:01
ID: 102559; DES Number: 81939444; Time: 12:12:22
ID: 102677; DES Number: 82200015; Time: 12:12:41
ID: 102629; DES Number: 00009499; Time: 12:13:18
ID: 102630; DES Number: 00365722; Time: 12:14:07
